 Current Liability to Current Assets, Liability-Assets Flag, Total expense/Assets, Cash/Current Liability, Fixed Assets Turnover Frequency, Fixed Assets to Assets, Net Value Growth Rate, Revenue per person, Total assets to GNP price, Quick Asset Turnover Rate, Tax rate (A), Cash/Total Assets,Bankrupt?
0.040394784,0,0.056786552,0.00260549,0.000102127,0.643453605,0.000466971,0.006359884,0.001829758,6590000000,0.005567365,0.038272303,0
0.055242675,0,0.02305698,0.007405721,0.00010591,0.44612495,0.00044319,0.014417696,0.018753173,0.000196857,0.417653609,0.20786639,0
0.050170651,0,0.02884647,0.000643438,0.000186855,0.529125896,0.000457539,0.028565134,0.000830379,6920000000,0.306913655,0.017860839,0
0.04550392,0,0.029878824,0.001762148,6200000000,0.375466284,0.000397498,0.009130032,0.005886934,9360000000,0,0.014953766,0
0.051481376,0,0.053100818,0.002078155,953000000,0.636099657,0.00045417,0.007725864,0.001192833,6300000000,0.231096265,0.026006422,0
0.013393307,0,0.021203559,0.014550059,0.000160378,0.517946678,0.000458861,0.022352129,0.000703131,7240000000,0.213786821,0.106296004,0
0.018802183,0,0.020951194,0.000850943,0.0001339,0.353769066,0.000460982,0.012990027,0.001225311,8030000000,0.196376151,0.007991229,0
0.065815853,0,0.053089553,0.000221174,0.000384301,0.28204267,0.000417986,0.054445309,0.003010609,5430000000,0,0.008266417,1
0.12488271,0,0.022401707,0.000415664,4840000000,0.669737404,0.000417811,0.012308506,0.00163072,6420000000,0,0.011060914,1
0.082666072,0,0.055344203,0.000846474,0.000146004,0.378040022,0.000444213,0.012185127,0.015252473,8130000000,0,0.02307052,0
0.033441832,0,0.026124487,0.000386364,0.000500045,0.240775846,0.000450302,0.030321813,0.009773677,5880000000,0.077032088,0.006430036,0
0.025690359,0,0.029797683,0.009212857,0.000228462,0.304841377,0.000452099,0.015951118,0.000784802,9980000000,0.039983804,0.1099419,0
0.027009776,0,0.040701109,0.000472725,0.000810209,0.246535178,0.000433258,0.033009709,0.005123568,4190000000,0.093835408,0.009640278,0
0.043569973,0,0.030237273,0.000354145,0.000170212,0.21821712,0.000451699,0.015572169,0.080005795,3230000000,0,0.001818174,0
0.047146168,0,0.044445132,0.002735428,0.000105153,0.309750773,0.000415565,0.010363821,0.007562958,8150000000,0,0.034649948,0
0.030711116,0,0.026885666,0.003328671,0.000167186,0.362534211,0.000434106,0.031335282,0.007307566,7980000000,0.544893208,0.042104213,0
0.015303614,0,0.022711197,0.007846192,0.000186855,0.408581394,0.000448181,0.026544071,0.004593395,5800000000,0,0.055163022,0
0.017390013,0,0.014152417,0.004185023,8090000000,0.55225808,0.000443315,0.022898521,0.003424982,0.000102166,0,0.025434432,0
0.034282255,0,0.053386544,0.000360167,0.000231488,0.290158934,0.000463228,0.026620449,0.007173155,6360000000,0.302560988,0.004233507,0
0.052989493,0,0.009311912,0.005767471,6660000000,0.141590934,0.000461531,0.015789551,0.013697704,0.000256724,0,0.054515238,0
0.025041042,0,0.042633752,0.004285039,0.000283687,0.182692608,0.000447207,0.014038747,0.002623154,9180000000,0.235752607,0.049665261,0
0.047820571,0,0.018240739,0.000935597,0.000214089,0.533104546,0.000464077,0.110150845,0.004076308,3050000000,0.122178358,0.018552171,0
0.027989221,0,0.084879324,0.006379642,0.000146761,0.446059811,0.000451799,0.005278851,0.001521113,8550000000,0.390120458,0.084808266,0
0.013788045,0,0.023460446,0.003746093,8930000000,0.308787397,0.000448929,0.019020901,0.012883194,7930000000,0.216621115,0.008047887,0
0.017567908,0,0.043792261,0.010425035,0.000368414,0.262170882,0.000456316,0.029916426,0.000886674,0.000114504,0.29588015,0.13360494,0
0.040686295,0,0.058327857,0.003251376,0.000108179,0.626178519,0.000453596,0.006597829,0.001675211,6960000000,0.281000101,0.051390454,0
0.05379309,0,0.022561731,0.003421582,8620000000,0.424469764,0.000449154,0.014168001,0.018858531,0.000249781,0.250126531,0.09986268,0
0.051783386,0,0.030003088,0.000307647,0.000153569,0.561131282,0.000455318,0.024144059,0.000717098,8180000000,0.244255491,0.008639337,0
0.071173171,0,0.028967961,0.001211042,6430000000,0.371978607,0.000432809,0.009329789,0.005375904,8390000000,0,0.014188683,0
0.057507852,0,0.04929908,0.002383786,8850000000,0.595635711,0.000445885,0.008007873,0.001088206,6810000000,0.353983197,0.033585921,0
0.019789517,0,0.024983799,0.011028814,0.0001513,0.431696603,0.000461606,0.023145279,0.000729497,9930000000,0.285453993,0.114842024,0
0.027016807,0,0.015704432,0.000701192,0.000167943,0.241062115,0.000459909,0.013471792,0.00121048,9660000000,0.27320579,0.00884665,0
0.086458323,0,0.01597916,0.000327499,552000000,0.402247746,0.000401067,0.025571729,0.040160605,8250000000,0,0.005559438,1
0.09480622,0,0.020195192,0.000534161,0.000278391,0.259437933,0.000401291,0.0597976,0.007233192,6540000000,0,0.020326853,1
0.065285749,1,0.203706253,0.00443736,0.000699004,0.222814962,0.000154243,0.048053112,0.005803037,7650000000,0,0.210915212,1
0.083357788,0,0.06889951,0.001334543,0.000228462,0.374422368,0.000350634,0.053572845,0.001053039,4860000000,0,0.04992772,1
0.065772709,0,0.056916081,0.001421194,0.000146004,0.429555894,0.00044883,0.012696268,0.014206822,7000000000,0,0.03029461,0
0.041568851,0,0.028336349,0.000741401,0.000491724,0.267661355,0.000406108,0.034143619,0.011073301,3860000000,0.170968722,0.016028416,0
0.015794181,0,0.03167794,0.013562296,0.000232245,0.302931735,0.000446284,0.014767269,0.00078694,9660000000,0.495191821,0.099152341,0
0.019877914,0,0.044972547,0.002357553,0.000888885,0.231180919,0.000417661,0.030950458,0.004863353,3870000000,0,0.033919963,0
0.040150421,0,0.031204175,0.00041714,0.000185342,0.210569728,0.000438973,0.019623107,0.083300594,3200000000,0.109120356,0.00217961,0
0.044582633,0,0.040546409,0.002931636,0.000174751,0.241009248,0.000451949,0.015381226,0.008638505,9740000000,0,0.041460898,0
0.045108807,0,0.026621944,0.002300669,0.000135413,0.367042077,0.000436677,0.029070399,0.008203386,8470000000,0,0.038855129,0
0.015501967,0,0.019879244,0.010757686,0.000208037,0.36253608,0.000444487,0.030747764,0.005121702,8400000000,0.097884401,0.091954131,0
0.028551561,0,0.011845128,0.00550182,9380000000,0.473395734,0.000432659,0.02198493,0.003421363,0.000117014,0,0.067773623,0
0.021639194,0,0.050070674,0.000491576,0.000229219,0.263903376,0.000445985,0.028741389,0.007621491,6210000000,0.294867902,0.004262318,0
0.038189267,0,0.006372529,0.000652442,8550000000,0.123475577,0.000447307,0.016544512,0.014793753,0.000188728,0,0.003930078,0
0.02377858,0,0.044735553,0.003293888,0.000338154,0.242290899,0.000446134,0.007960871,0.003887313,7410000000,0.341937443,0.035977881,0
0.033278508,0,0.016922462,0.001867644,0.00029806,0.520139858,0.000466173,0.123743078,0.004124792,173000000,0.236157506,0.027102603,0
0.025423652,0,0.099098533,0.007179283,0.000152813,0.506785694,0.000444512,0.005763553,0.001607934,6250000000,0.285858893,0.082648357,0
0.017516192,0,0.024625739,0.001634064,8780000000,0.267009817,0.000448605,0.01890046,0.014406158,0.000107915,0.281101326,0.00494094,0
0.013881632,0,0.035397841,0.02003773,0.000503071,0.198867174,0.000455193,0.035741668,0.001039494,0.000129655,0.265816378,0.240895478,0
0.0453153,0,0.050330362,0.002605132,0.000113475,0.579098064,0.000466323,0.006700645,0.001744574,8050000000,0.187974491,0.049102648,0
0.03833142,0,0.022670436,0.006221972,0.000102884,0.409813649,0.000452822,0.019167781,0.020495926,0.000177853,0.362992206,0.131184267,0
0.055803156,0,0.023770793,0.00074002,0.000155839,0.572827458,0.000466397,0.02716684,0.000917504,7190000000,0.130175119,0.021844578,0
0.07886108,0,0.026763713,0.00063088,6200000000,0.35106888,0.000429814,0.008416198,0.005778581,7920000000,0,0.007775609,0
0.039145257,0,0.044004249,0.003094289,0.000102884,0.556827394,0.000445436,0.009112407,0.001208214,0.000107785,0.26500658,0.046968846,0
0.00975795,0,0.021795989,0.032077489,0.000173994,0.409423783,0.000461856,0.018636077,0.000888599,0.000103634,0.276343759,0.184053794,0
0.016984429,0,0.016102206,0.00335386,0.000143735,0.268166658,0.000459235,0.01259639,0.001307458,9880000000,0.257212268,0.023053227,0
0.043946134,0,0.058540223,0.000129901,0.001228552,0.074805454,0.00039947,0.035353906,0.000714363,0.000104117,0,0.004204832,1
0.047479383,0,0.083284302,0.002461378,0.000152056,0.488083653,0.000423077,0.014499949,0.010964458,4500000000,0,0.033954606,0
0.039735745,0,0.024362035,0.000697069,0.000551487,0.258195861,0.000441418,0.039396031,0.009459865,3270000000,0,0.014218391,0
0.014473292,0,0.031824876,0.019052443,0.00025494,0.301634295,0.000447083,0.016286004,0.000716702,0.00011252,0.086243547,0.149971409,0
0.031532452,0,0.030866749,0.000290774,0.001087844,0.204018071,0.000431461,0.039375468,0.004735327,3310000000,0,0.007362738,0
0.042775646,0,0.023488075,0.000730884,0.00020955,0.208995916,0.000440395,0.023397911,0.079265862,2870000000,0.051827108,0.004134722,0
0.065233995,0,0.039548182,0.002773648,0.000188368,0.225665215,0.000444363,0.017340599,0.008471115,8480000000,0,0.059433657,0
0.034115333,0,0.022421382,0.003332368,0.00016416,0.337877299,0.000437899,0.033059648,0.007601306,7590000000,0.164591558,0.038818966,0
0.016790119,0,0.021372543,0.010249623,0.000236027,0.332992699,0.000454819,0.034466754,0.005714844,9800000000,0,0.106420829,0
0.031274126,0,0.013713405,0.00348276,0.000159621,0.393824616,0.000431386,0.029137964,0.002613115,0.000104013,0,0.056637187,0
0.022905322,0,0.051153897,0.000640552,0.000316973,0.220262982,0.000452573,0.030727201,0.006717748,5820000000,0.229982792,0.006449691,0
0.03500276,0,0.013596135,0.001215929,0.000127092,0.074158832,0.000447108,0.014432384,0.013281856,0.000172562,0.004858791,0.007233986,0
0.026094741,0,0.045452689,0.002938003,0.000299573,0.254874814,0.0004378,0.00881571,0.003055518,497000000,0.124607754,0.035958446,0
0.027936384,0,0.014721951,0.002893514,0.00044936,0.472469473,0.000440095,0.199726804,0.003692721,1180000000,0.162769511,0.033977102,0
0.032017075,0,0.094118698,0.006775415,0.000135413,0.550074386,0.0004651,0.006224755,0.001718205,5570000000,0.142322097,0.089059468,0
0.015488317,0,0.02791587,0.003636405,953000000,0.262346094,0.000469492,0.019323473,0.011140786,840000000,0.642980059,0.008618155,0
0.01468576,0,0.032766466,0.005185381,0.000634702,0.193900564,0.000426396,0.04023912,0.000854055,8720000000,0.191213686,0.059757415,0
0.040005462,0,0.047041326,0.002324688,0.000155082,0.438878894,0.000455193,0.005416918,0.001733461,8160000000,0.263285758,0.042962938,0
0.035018718,0,0.023426242,0.008163779,0.000135413,0.340967185,0.000455567,0.021926178,0.019071473,0.000166732,0,0.151494276,0
0.048467683,0,0.02618692,0.001167462,0.00020728,0.529700633,0.000471488,0.033200652,0.000805472,648000000,0.195161454,0.03245725,0
0.06634848,0,0.023493047,0.00119364,6280000000,0.377650442,0.000435204,0.008037249,0.005476771,7330000000,0.006680838,0.01175541,0
0.030768726,0,0.045685949,0.007579698,0.000122553,0.525912915,0.000459834,0.010440198,0.001041682,8700000000,0.237473428,0.085323515,0
0.012010778,0,0.016083865,0.025052936,0.00017702,0.315369647,0.000466447,0.016468134,0.001110429,0.000109662,0.206498633,0.142006336,0
0.018274974,0,0.015570893,0.003340255,0.000137683,0.241958846,0.000443963,0.010672268,0.001229322,0.000124447,0.227350946,0.027913279,0
0.048736567,0,0.025392313,0.000344747,0.000180046,0.393632716,0.000473834,0.012146938,0.001931766,6780000000,0.262273509,0.008967566,1
0.078173593,0,0.006608918,0.001045663,4090000000,0.669046743,0.000433008,0.049245774,0.061289674,6730000000,0,0.012239141,1
0.039598998,0,0.010715876,0.002472008,6660000000,0.408829669,0.000477302,0.032337,0.181629995,7030000000,0,0.017114877,0
0.040102735,0,0.013676661,0.00164418,0.000110449,0.344630159,0.000484614,0.017881116,0.257583991,7220000000,0,0.016781613,0
0.041838666,0,0.018490605,0.004511376,0.000303356,0.097806521,0.000433408,0.030918144,0.015784773,9590000000,0,0.034954906,0
0.056694701,0,0.025863837,0.0007149,0.000146004,0.365258122,0.000421055,0.018674265,0.011743703,8030000000,0,0.013444309,0
0.027984906,0,0.024101141,0.00151987,0.000148274,0.449118618,0.000447806,0.011958932,0.00497457,9050000000,0,0.023103422,0
0.010435626,0,0.016822989,0.008340214,0.000254183,0.204658121,0.000424075,0.030553883,0.004632071,0.000111081,0,0.033930604,0
0.013358818,0,0.017873769,0.010918055,0.000160378,0.474853167,0.000448655,0.028077494,0.005232801,5780000000,0.071161049,0.053978851,0
0.02922454,0,0.01029279,0.000973263,0.000329077,0.219896941,0.000458487,0.114733487,0.009074256,5890000000,0.282518474,0.010186416,0
0.01885952,0,0.030799885,0.003350068,0.000270826,0.399760515,0.000426895,0.086644243,0.005347517,2570000000,0.285251544,0.027308939,0
0.030226003,0,0.021654703,0.009586014,0.000132387,0.412104043,0.000503005,0.068304863,0.018522087,8260000000,0,0.076403962,0
0.027024324,0,0.012300135,0.004444695,0.000171725,0.10481187,0.000454245,0.032375189,0.015789162,0.000233293,0,0.035808817,0
0.02895447,0,0.020800608,0.006874663,0.000182316,0.256412398,0.000431162,0.01132735,0.005632409,0.000168628,0.210851301,0.115407971,0
0.085845726,0,0.042225696,0.001372019,0.000106666,0.445540372,0.0003691,0.007822805,0.002205516,7760000000,0,0.035870606,0
0.052088237,0,0.033834616,0.002226515,0.000118014,0.406684516,0.000420556,0.011579983,0.010121537,0.000103888,0,0.038437434,0
0.029918535,0,0.017202295,0.007309909,0.000162647,0.457496849,0.000426495,0.015463478,0.004919312,3880000000,0,0.069737919,0
0.02171361,0,0.024894823,0.002925318,0.000138439,0.452707286,0.000439996,0.005411042,0.001290479,0.000106158,0.176940986,0.030617237,0
0.020617976,0,0.021026254,0.02846381,0.000236027,0.249341018,0.000582785,0.008689394,0.001461612,0.000253639,0.226136249,0.521109465,0
0.003688398,0,0.007807106,0.029452163,5900000000,0.542852816,0.000491102,0.010310944,0.001763786,0.000334265,0.103350542,0.050045616,0
0.047203667,0,0.010900319,0.000755852,7410000000,0.422377362,0.000516805,0.024440756,0.187801799,5160000000,0,0.008579369,0
0.056640465,0,0.016050762,0.002921314,0.000127092,0.202766236,0.00051436,0.010872024,0.0085394,0.000143525,0,0.052106549,0
0.019792283,0,0.017744445,0.014418792,0.000157352,0.543800234,0.000482767,0.02076583,0.000777786,9910000000,0.106792185,0.16303986,0
0.036338589,0,0.03180923,0.002860902,0.000257966,0.43190218,0.000460858,0.016065685,0.0010566,7950000000,0.181394878,0.062853544,0
0.015586978,0,0.020707085,0.002816979,0.000139952,0.354014083,0.000465299,0.016147937,0.001059182,0.000114792,0.226136249,0.030340028,0
0.023405032,0,0.036216669,0.002352841,0.00027007,0.358509137,0.000498514,0.011671049,0.000604624,8030000000,0.126328576,0.041812942,0
0.037000453,0,0.040850039,0.005194544,0.000364632,0.354694819,0.000442965,0.01890046,0.000966426,4410000000,0,0.105382958,0
0.057153439,0,0.02164235,0.000646245,0.000111962,0.427835711,0.000425073,0.012020622,0.002807943,5140000000,0,0.011839115,1
0.026210322,0,0.009563317,0.001112872,0.000102884,0.351030133,0.000473285,0.053508218,0.214226185,0.000100511,0.004453892,0.008115258,0
0.024172763,0,0.010891489,0.00104486,0.000120283,0.304705401,0.000464027,0.0234361,0.31551983,7830000000,0.048790363,0.006428483,0
0.017211889,0,0.010755979,0.00605921,0.000360849,0.089270972,0.000462405,0.040891265,0.01618458,0.000155997,0.059925094,0.035690086,0
0.023873134,0,0.015771496,0.001512988,0.000152813,0.382564519,0.000449154,0.019414538,0.009780203,7560000000,0,0.012598129,0
0.01902561,0,0.015286668,0.014268031,0.000195933,0.269637517,0.000467196,0.013186845,0.007121233,0.000160384,0.015284948,0.169365647,0
0.021247741,0,0.011800751,0.00089444,0.00046222,0.101500054,0.000448256,0.036951956,0.005588594,0.000149048,0.143334346,0.008888219,0
0.017104794,0,0.018006401,0.002763086,0.000236027,0.333296415,0.000439347,0.036241059,0.006728664,8710000000,0,0.025839074,0
0.041651872,0,0.011222774,0.00066113,0.000490211,0.143827145,0.000461456,0.129668199,0.010313118,7310000000,0.319060634,0.010759308,0
0.014958169,0,0.024288588,0.006784626,0.000459951,0.28222921,0.000468294,0.135546318,0.00677884,6290000000,0.250328981,0.071517257,0
0.047515907,0,0.036633949,0.000363833,0.000132387,0.40358007,0.000383449,0.072238297,0.016305294,5950000000,0,0.004313979,0
0.011182431,0,0.00719127,0.001421626,0.000174751,0.149687814,0.000453172,0.044254807,0.015515823,9710000000,0.296588724,0.003360493,0
0.015444821,0,0.022858558,0.008329163,0.000250401,0.227503167,0.000447806,0.01770486,0.00533142,0.000121865,0.255795121,0.070749331,0
0.077350395,0,0.015768151,0.000459479,8470000000,0.421248144,0.000444088,0.010222816,0.001487673,6520000000,0,0.008191713,0
0.039633912,0,0.023093264,0.003045768,0.000153569,0.350755402,0.000514859,0.014353069,0.011370451,7740000000,0.096770928,0.033591095,0
0.024026344,0,0.011670245,0.010668482,0.000200472,0.305126198,0.0004648,0.015815989,0.005284202,5830000000,0.211964774,0.091236639,0
0.017254188,0,0.021500152,0.004334701,0.000154326,0.387038388,0.000452623,0.005220099,0.00165089,0.000116113,0.039174005,0.033661668,0
0.018003843,0,0.02179809,0.017939589,0.000286713,0.231935176,0.000457813,0.01068108,0.001450478,0.000176658,0.150521308,0.257405075,0
0.004749205,0,0.007701516,0.008800312,4160000000,0.553575612,0.000460009,0.011115844,0.001950594,0.000222449,0,0.01496295,0
0.02167915,0,0.008087457,0.000495388,0.000110449,0.390213254,0.000472411,0.047768165,0.218204902,570000000,0.144650268,0.002853674,0
0.038247439,0,0.017745719,0.00124625,0.000202741,0.21737138,0.000435604,0.020827519,0.007712735,0.000104862,0.252353477,0.015395133,0
0.029128243,0,0.016066211,0.006851779,0.000158108,0.536865277,0.000457938,0.024587636,0.00098262,9440000000,0.249013058,0.114733698,0
0.027341637,0,0.020993928,0.004643504,0.000298817,0.317337979,0.000524616,0.023060088,0.002109385,8410000000,0.187873267,0.062754337,0
0.022641206,0,0.014772396,0.004879558,0.000204254,0.251764568,0.000468444,0.022099496,0.001474614,0.000129928,0.190505112,0.070253937,0
0.021524912,0,0.032899878,0.001167857,0.000339667,0.2821492,0.000475356,0.01348648,0.001096628,9820000000,0.215811317,0.019530791,0
0.039278102,0,0.02850631,0.003043714,0.000351771,0.319910223,0.000442391,0.022825081,0.001069125,5540000000,0.045652394,0.056235597,0
0.045353716,0,0.015428529,0.001116062,0.000420613,0.136910723,0.000438648,0.017325911,0.001479897,0.00017082,0,0.038191669,1
0.019847845,0,0.007425355,0.002817801,0.00014903,0.318123492,0.000472811,0.079591087,0.232669295,7750000000,0.097479502,0.016028241,0
0.026425735,0,0.008985705,0.002091199,0.000165673,0.243386545,0.000468643,0.035923799,0.323335887,9580000000,0.030772345,0.017567255,0
0.013913218,0,0.014037812,0.020238718,0.000618815,0.072278067,0.00044566,0.068031667,0.015714217,0.000202472,0.044437696,0.168456666,0
0.017273728,0,0.027787322,0.006233379,0.000198202,0.291276743,0.000437974,0.024329128,0.0097139,0.000137842,0,0.059643628,0
0.022464074,0,0.01824426,0.005646899,0.000203498,0.266810877,0.000456441,0.013430666,0.005931517,0.00010029,0,0.058071864,0
0.011635663,0,0.010037855,0.008437649,0.000692952,0.108845147,0.000459535,0.060484996,0.005163104,0.000102434,0.247191011,0.047333845,0
0.008939957,0,0.021026682,0.004994015,0.000422882,0.240017698,0.00045694,0.061989043,0.006915481,7600000000,0.014677599,0.029879377,0
0.039147413,0,0.010741023,0.004136316,0.000826852,0.126917101,0.000423276,0.191116725,0.008954928,4950000000,0,0.067378472,0
0.014284773,0,0.019419738,0.010866627,0.000690682,0.239568607,0.00043236,0.213054654,0.006155594,4840000000,0.227755846,0.11047764,0
0.042739114,0,0.013228161,9650000000,0.000202741,0.366716233,0.000492899,0.104105283,0.01329045,2830000000,0,0.000935978,0
0.019431853,0,0.006462832,0.00229932,0.000264774,0.13417168,0.000458113,0.068751377,0.01358528,6010000000,0.176029963,0.009159559,0
0.013848258,0,0.016961759,0.011682885,0.000244349,0.220212241,0.000487434,0.019267659,0.005252547,0.000134019,0.132604515,0.081047735,0
0.069894768,0,0.018350977,0.000191783,8620000000,0.1695924,0.000434231,0.013066404,0.001048169,0.000100667,0,0.002842662,0
0.038393417,0,0.021834174,0.001581886,0.000139952,0.378667138,0.000464077,0.014009371,0.011496006,7910000000,0.091709687,0.016684034,0
0.0253591,0,0.012837251,0.002305811,0.000329833,0.243427982,0.000476953,0.020519072,0.004469701,3880000000,0,0.021603014,0
0.035449804,0,0.02548228,0.002864276,0.000137683,0.401650345,0.000443938,0.005728302,0.001664665,9970000000,0,0.041504694,0
0.018473885,0,0.023319018,0.021123191,0.00034345,0.21019024,0.000444962,0.011021841,0.001222429,0.000155947,0.152343355,0.31787229,0
0.012539328,0,0.010972668,0.011641737,8090000000,0.597805009,0.000462405,0.016515136,0.00130395,6920000000,0.252657152,0.043512053,0
0.0261446,0,0.006968649,0.001934913,0.000158865,0.355184822,0.000478575,0.07749071,0.236678378,5190000000,0,0.014396186,0
0.04300658,0,0.020830138,0.001498458,0.000289739,0.198649651,0.00045699,0.025457163,0.006586125,6260000000,0.086547221,0.01822124,0
0.02333007,0,0.018444207,0.004838461,0.000187611,0.570135085,0.000452797,0.026406004,0.000860634,5730000000,0.210243952,0.060622885,0
0.034972996,0,0.021633547,0.001149183,0.00023754,0.30281759,0.0004788,0.024696327,0.002640439,7080000000,0.257414718,0.022976637,0
0.024267289,0,0.022071154,0.004415916,0.000213332,0.301846683,0.000473235,0.02813037,0.001394579,648000000,0.105071363,0.058898597,0
0.026029499,0,0.029970819,0.00361851,0.000418343,0.221644961,0.00045694,0.015492854,0.001219076,0.000102684,0.119850187,0.076539199,0
0.036189034,0,0.029727096,0.00546195,0.000470542,0.268255112,0.000453296,0.028820704,0.001037448,5920000000,0.236056281,0.111738596,0
0.03919128,0,0.019693368,0.002542049,0.000171725,0.174530715,0.000407805,0.010801522,0.006000143,0.000125483,0,0.069568481,1
0.038753246,0,0.016018493,0.000350569,5900000000,0.30995485,0.000451425,0.024349691,0.074960509,6690000000,0,0.00736936,1
0.044378728,0,0.0156381,0.000338361,5980000000,0.268204795,0.00041846,0.03006918,0.007928691,0.000148737,0,0.011708394,1
0.045559964,0,0.008302049,0.00283077,8090000000,0.297007821,0.000486885,0.011203972,0.114600055,5190000000,0,0.018207277,0
0.048192164,0,0.011667422,0.000662941,8470000000,0.511497924,0.000427993,0.015231409,0.027196544,5300000000,0,0.007944873,0
0.014103768,0,0.019890883,0.009863641,6880000000,0.550485817,0.000447207,0.005152534,0.001670588,0.000128514,0,0.042362731,0
0.066409293,0,0.007257541,0.000826906,4240000000,0.709826391,0.000427219,0.013122218,0.006901876,3270000000,0,0.015056992,0
0.034252221,0,0.021085382,0.003999926,5140000000,0.340492509,0.000408927,0.009664674,0.01528412,0.000187684,0,0.051493511,0
0.045875348,0,0.016336636,0.001067368,0.000146004,0.192850647,0.000434406,0.007059031,0.007634321,5260000000,0,0.014400879,0
0.024925608,0,0.018540439,0.00774242,635000000,0.469228147,0.000422403,0.011527107,0.004404958,0.000172564,0,0.087946851,0
0.082646492,0,0.006529076,0.002111923,2500000000,0.559193155,0.000461007,0.014667391,0.006854869,0.000180109,0,0.034894297,0
0.016951353,0,0.007760536,0.000163006,0.000118014,0.43227935,0.000451026,0.018016245,0.003855174,1670000000,0.189796538,0.001407684,0
0.045123009,0,0.013832989,0.000625677,0.000122553,0.300348632,0.000462529,0.008680581,0.037760705,0.000104183,0,0.010320607,0
0.034173726,0,0.009647876,0.009421253,9380000000,0.444174414,0.000446958,0.015962869,0.002811132,469000000,0.079461484,0.09124474,0
0.027287523,0,0.008689635,0.000115333,552000000,0.443712289,0.000438224,0.006774085,0.005356117,9600000000,0,0.001113258,0
0.032550651,0,0.008867393,0.005526244,5450000000,0.569737603,0.000439147,0.014408883,0.017599999,0.00011158,0.035226237,0.053945235,0
0.027744288,0,0.016857419,0.002341121,9000000000,0.607767763,0.000448231,0.010822085,0.004320505,5500000000,0,0.022002904,0
0.044719823,0,0.02685579,0.000658259,0.000184585,0.318870707,0.000432983,0.019852239,0.010278321,5550000000,0,0.013875504,0
0.054620561,0,0.010421921,0.002291393,8090000000,0.646752665,0.000442067,0.012945963,0.014090111,7080000000,0,0.038716118,0
